Start Date (in UTC),Account Name,Currency,Campaign Group ID,Campaign Group Name,Campaign Group Status,Campaign Group Start Date,Campaign ID,Campaign Name,Campaign Objective,Campaign Type,Campaign Status,Cost Type,Daily Budget,Total Budget,Campaign Start Date,Campaign End Date,Creative Name,Ad ID,Creative Status,Ad Introduction Text,Ad Headline,Ad Line,Click URL,Sponsored Update Type,DSC Name,Video Length (in Seconds),Total Spent,Impressions,Clicks,Click Through Rate,Average CPM,Average CPC,Reactions,Comments,Shares,Follows,Other Clicks,Total Social Actions,Total Engagements,Engagement Rate,Viral Impressions,Viral Clicks,Viral Reactions,Viral Comments,Viral Shares,Viral Follows,Viral Other Clicks,Conversions,Post-Click Conversions,View-Through Conversions,Conversion Rate,Cost per Conversion,Total Conversion Value,Return on Ad Spend,Viral Conversions,Viral Post-Click Conversions,Viral View-Through Conversions,Leads,Lead Forms Opened,Lead Form Completion Rate,Cost per Lead,Video Plays,Video Views,Video View Rate,Video Views at 25%,Video Views at 50%,Video Views at 75%,Video Completions,Video Completion Rate,Full Screen Plays,eCPV,Viral Video Plays,Viral Video Views,Viral Video Views at 25%,Viral Video Views at 50%,Viral Video Views at 75%,Viral Video Completions,Viral Video Completion Rate,Viral Video Full Screen Plays,Reach,Average Frequency,"Cost per 1,000 People Reached",Event Registrations,Click Event Registrations,View Event Registrations,Viral Event Registrations,Viral Click Event Registrations,Viral View Event Registrations,Clicks to Landing Page,Clicks to LinkedIn Page,Leads (Work Email),Lead Form Completion Rate (Work Email),Cost Per Lead (Work Email),Campaign Group End Date,Campaign Group Total Budget
2/1/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,23.58,853,14,1.641%,27.64,1.68,3,0,0,0,11,14,14,1.641%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0%,0.0,,
2/2/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,23.59,846,10,1.182%,27.88,2.36,5,0,0,0,4,9,10,1.182%,2,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0%,0.0,,
2/3/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,22.73,575,12,2.087%,39.53,1.89,2,0,0,0,8,10,12,2.087%,1,0,0,0,0,0,0,1,1,0,8.333%,22.73,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0%,0.0,,
2/4/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,16.08,429,9,2.098%,37.48,1.79,3,1,0,1,1,6,10,2.331%,3,0,0,0,0,0,0,1,1,0,11.111%,16.08,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,2,2,0,0%,0.0,,
2/5/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,14.02,207,3,1.449%,67.73,4.67,0,1,0,0,3,4,4,1.932%,5,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0%,0.0,,
2/6/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,20.47,523,9,1.721%,39.14,2.27,6,0,0,1,2,9,9,1.721%,1,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0%,0.0,,
2/7/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,22.78,468,9,1.923%,48.68,2.53,3,0,0,1,3,7,9,1.923%,1,0,0,0,0,0,0,1,1,0,11.111%,22.78,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0%,0.0,,
2/8/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,22.74,238,2,0.84%,95.55,11.37,0,0,0,0,1,1,2,0.84%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0%,0.0,,
2/9/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,22.52,139,1,0.719%,162.01,22.52,0,0,0,0,1,1,1,0.719%,1,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0%,0.0,,
2/10/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,21.77,464,9,1.94%,46.92,2.42,2,0,0,0,5,7,9,1.94%,1,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,0%,0.0,,
2/11/2023,LogicSource Ad Account,USD,633373253,2023 Services Ads,Paused,2/1/2023,219757113,Do the Math Add - Services,Engagement,Sponsored Update,Paused,CPM,20.0,,2/1/2023,,Do the Math - Services,229481063,Active,"Companies buy lots of goods and services to be in business. Typically, they focus their resources on buying the things they ultimately provide to their customers. They tend to focus less on buying well in other areas—the goods and services that enable them to be in business—better known as indirect expenses. Yet purchases in these areas can add up to more than 20% of revenue for a business, representing a significant opportunity for cost savings and profit improvement.

Learn how the world's most recognizable brands buy better with LogicSource and request a no-cost assessment today. ","Request a No-cost, No-obligation Assessment Today",,https://logicsource.com/services?utm_campaign=Do+the+Math+Add+-+Services&utm_source=linkedin&utm_medium=paid&hsa_acc=503313685&hsa_cam=633373253&hsa_grp=219757113&hsa_ad=229481063&hsa_net=linkedin&hsa_ver=3,DSC,Do the Math - Services,,15.61,278,4,1.439%,56.15,3.9,1,0,0,0,2,3,4,1.439%,1,0,0,0,0,0,0,1,1,0,25%,15.61,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0%,0.0,,
